"sales_month","sales_year","avg_inflationrate","sales_volume"
6,2022,"2.82","3020"
8,2018,"2.39","2131"
7,2022,"2.56","2589"
11,2018,"3.41","1743"
2,2020,"3.24","3432"
12,2021,"2.97","2562"
7,2019,"3.27","1874"
10,2019,"3.25","1879"
10,2022,"2.89","3649"
6,2019,"2.89","1198"
2,2018,"2.94","1737"
11,2021,"2.86","2334"
4,2019,"3.28","2001"
7,2018,"3.21","4305"
11,2020,"2.98","1012"
10,2021,"3.04","3372"
5,2020,"2.82","2558"
5,2018,"3.34","2296"
6,2021,"3.03","3044"
2,2019,"3.21","1415"
4,2021,"2.88","1247"
11,2022,"3.06","1603"
7,2020,"2.74","2170"
4,2020,"2.95","1204"
1,2022,"3.33","2284"
8,2022,"3.61","1619"
9,2020,"2.77","2590"
3,2018,"3.43","1928"
3,2020,"3.15","2179"
10,2018,"2.86","2417"
11,2019,"2.49","1668"
2,2022,"3.36","2644"
8,2021,"3.22","2965"
12,2020,"3.07","2323"
3,2021,"3.14","3346"
5,2022,"2.81","1565"
12,2022,"3.00","2539"
6,2018,"3.32","1724"
3,2019,"3.16","2324"
5,2019,"2.89","1868"
1,2018,"2.87","3817"
12,2018,"2.56","2099"
5,2021,"3.25","2355"
4,2018,"2.50","2604"
8,2019,"3.32","3352"
1,2021,"2.65","1449"
8,2020,"3.08","4828"
10,2020,"2.60","3419"
6,2020,"2.81","1961"
4,2022,"3.09","3683"
1,2020,"3.66","1392"
9,2019,"3.33","2928"
9,2021,"3.09","1013"
3,2022,"2.76","962"
2,2021,"3.09","2357"
7,2021,"3.11","1305"
12,2019,"3.03","2453"
1,2019,"3.17","4569"
9,2022,"3.04","4219"
9,2018,"2.75","1693"
